number,season,episode,airdate,title,tvmaze link
204,11,10,13 Dec 20,"Yachty or Nice","https://www.tvmaze.com/episodes/1973110/bobs-burgers-11x10-yachty-or-nice"
205,11,11,21 Feb 21,"Romancing the Beef","https://www.tvmaze.com/episodes/2014750/bobs-burgers-11x11-romancing-the-beef"
206,11,12,28 Feb 21,"Die Card, or Card Trying","https://www.tvmaze.com/episodes/2017772/bobs-burgers-11x12-die-card-or-card-trying"
207,11,13,07 Mar 21,"An Incon-wheelie-ent Truth","https://www.tvmaze.com/episodes/2028977/bobs-burgers-11x13-an-incon-wheelie-ent-truth"
208,11,14,14 Mar 21,"Mr. Lonely Farts","https://www.tvmaze.com/episodes/2029704/bobs-burgers-11x14-mr-lonely-farts"
209,11,15,21 Mar 21,"Sheshank Redumption","https://www.tvmaze.com/episodes/2028978/bobs-burgers-11x15-sheshank-redumption"
210,11,16,28 Mar 21,"Y Tu Tina También","https://www.tvmaze.com/episodes/2042650/bobs-burgers-11x16-y-tu-tina-tambien"
211,11,17,11 Apr 21,"Fingers-loose","https://www.tvmaze.com/episodes/2042651/bobs-burgers-11x17-fingers-loose"
212,11,18,18 Apr 21,"Some Kind of Fender Benderful","https://www.tvmaze.com/episodes/2052936/bobs-burgers-11x18-some-kind-of-fender-benderful"
213,11,19,02 May 21,"Bridge Over Troubled Rudy","https://www.tvmaze.com/episodes/2067511/bobs-burgers-11x19-bridge-over-troubled-rudy"
214,11,20,09 May 21,"Steal Magazine-olias","https://www.tvmaze.com/episodes/2076451/bobs-burgers-11x20-steal-magazine-olias"
215,11,21,16 May 21,"Tell Me Dumb Thing Good","https://www.tvmaze.com/episodes/2049594/bobs-burgers-11x21-tell-me-dumb-thing-good"
216,11,22,23 May 21,"Vampire Disco Death Dance","https://www.tvmaze.com/episodes/2067512/bobs-burgers-11x22-vampire-disco-death-dance"
217,12,1,26 Sep 21,"Manic Pixie Crap Show","https://www.tvmaze.com/episodes/2136732/bobs-burgers-12x01-manic-pixie-crap-show"
218,12,2,03 Oct 21,"Crystal Mess","https://www.tvmaze.com/episodes/2166444/bobs-burgers-12x02-crystal-mess"
219,12,3,10 Oct 21,"The Pumpkinening","https://www.tvmaze.com/episodes/2172945/bobs-burgers-12x03-the-pumpkinening"
220,12,4,17 Oct 21,"Driving Big Dummy","https://www.tvmaze.com/episodes/2180117/bobs-burgers-12x04-driving-big-dummy"
221,12,5,24 Oct 21,"Seven-tween Again","https://www.tvmaze.com/episodes/2185210/bobs-burgers-12x05-seven-tween-again"
222,12,6,07 Nov 21,"Beach, Please","https://www.tvmaze.com/episodes/2196712/bobs-burgers-12x06-beach-please"
223,12,7,14 Nov 21,"Loft in Bedslation","https://www.tvmaze.com/episodes/2198363/bobs-burgers-12x07-loft-in-bedslation"
224,12,8,21 Nov 21,"Stuck in the Kitchen with You","https://www.tvmaze.com/episodes/2205193/bobs-burgers-12x08-stuck-in-the-kitchen-with-you"
225,12,9,28 Nov 21,"FOMO You Didn't","https://www.tvmaze.com/episodes/2209754/bobs-burgers-12x09-fomo-you-didnt"
226,12,10,19 Dec 21,"Gene's Christmas Break","https://www.tvmaze.com/episodes/2222032/bobs-burgers-12x10-genes-christmas-break"
227,12,11,09 Jan 22,"Touch of Eval(uations)","https://www.tvmaze.com/episodes/2238984/bobs-burgers-12x11-touch-of-evaluations"
228,12,12,27 Feb 22,"Ferry on My Wayward Bob and Linda","https://www.tvmaze.com/episodes/2270935/bobs-burgers-12x12-ferry-on-my-wayward-bob-and-linda"
229,12,13,06 Mar 22,"Frigate Me Knot","https://www.tvmaze.com/episodes/2274805/bobs-burgers-12x13-frigate-me-knot"
230,12,14,13 Mar 22,"Video Killed the Gene-io Star","https://www.tvmaze.com/episodes/2279037/bobs-burgers-12x14-video-killed-the-gene-io-star"
231,12,15,20 Mar 22,"Ancient Misbehavin","https://www.tvmaze.com/episodes/2285304/bobs-burgers-12x15-ancient-misbehavin"
232,12,16,27 Mar 22,"Interview with a Pop-pop-pire","https://www.tvmaze.com/episodes/2288690/bobs-burgers-12x16-interview-with-a-pop-pop-pire"
233,12,17,10 Apr 22,"The Spider House Rules","https://www.tvmaze.com/episodes/2296833/bobs-burgers-12x17-the-spider-house-rules"
