number,season,episode,airdate,title,tvmaze link
64,4,19,27 Apr 14,"The Kids Run Away","https://www.tvmaze.com/episodes/7478/bobs-burgers-4x19-the-kids-run-away"
65,4,20,04 May 14,"Gene It On","https://www.tvmaze.com/episodes/7479/bobs-burgers-4x20-gene-it-on"
66,4,21,11 May 14,"Wharf Horse (or How Bob Saves/Destroys the Town - Part I)","https://www.tvmaze.com/episodes/7480/bobs-burgers-4x21-wharf-horse-or-how-bob-savesdestroys-the-town-part-i"
67,4,22,18 May 14,"World Wharf II: The Wharfening (or How Bob Saves/Destroys the Town -- Part II)","https://www.tvmaze.com/episodes/7481/bobs-burgers-4x22-world-wharf-ii-the-wharfening-or-how-bob-savesdestroys-the-town-part-ii"
68,5,1,05 Oct 14,"Work Hard or Die Trying, Girl","https://www.tvmaze.com/episodes/7482/bobs-burgers-5x01-work-hard-or-die-trying-girl"
69,5,2,02 Nov 14,"Tina and the Real Ghost","https://www.tvmaze.com/episodes/15842/bobs-burgers-5x02-tina-and-the-real-ghost"
70,5,3,16 Nov 14,"Friends with Burger-fits","https://www.tvmaze.com/episodes/45308/bobs-burgers-5x03-friends-with-burger-fits"
71,5,4,23 Nov 14,"Dawn of the Peck","https://www.tvmaze.com/episodes/39983/bobs-burgers-5x04-dawn-of-the-peck"
72,5,5,30 Nov 14,"Best Burger","https://www.tvmaze.com/episodes/45309/bobs-burgers-5x05-best-burger"
73,5,6,07 Dec 14,"Father of the Bob","https://www.tvmaze.com/episodes/45310/bobs-burgers-5x06-father-of-the-bob"
74,5,7,14 Dec 14,"Tina Tailor Soldier Spy","https://www.tvmaze.com/episodes/45836/bobs-burgers-5x07-tina-tailor-soldier-spy"
75,5,8,04 Jan 15,"Midday Run","https://www.tvmaze.com/episodes/58251/bobs-burgers-5x08-midday-run"
76,5,9,11 Jan 15,"Speakeasy Rider","https://www.tvmaze.com/episodes/92017/bobs-burgers-5x09-speakeasy-rider"
77,5,10,25 Jan 15,"Late Afternoon in the Garden of Bob and Louise","https://www.tvmaze.com/episodes/108511/bobs-burgers-5x10-late-afternoon-in-the-garden-of-bob-and-louise"
78,5,11,08 Feb 15,"Can't Buy Me Math","https://www.tvmaze.com/episodes/117729/bobs-burgers-5x11-cant-buy-me-math"
79,5,12,15 Feb 15,"The Millie-Churian Candidate","https://www.tvmaze.com/episodes/122952/bobs-burgers-5x12-the-millie-churian-candidate"
80,5,13,01 Mar 15,"The Gayle Tales","https://www.tvmaze.com/episodes/128995/bobs-burgers-5x13-the-gayle-tales"
81,5,14,08 Mar 15,"L'il Hard Dad","https://www.tvmaze.com/episodes/139702/bobs-burgers-5x14-lil-hard-dad"
82,5,15,15 Mar 15,"Adventures in Chinchilla-sitting","https://www.tvmaze.com/episodes/141539/bobs-burgers-5x15-adventures-in-chinchilla-sitting"
83,5,16,22 Mar 15,"The Runway Club","https://www.tvmaze.com/episodes/142183/bobs-burgers-5x16-the-runway-club"
84,5,17,26 Apr 15,"Itty Bitty Ditty Committee","https://www.tvmaze.com/episodes/151672/bobs-burgers-5x17-itty-bitty-ditty-committee"
85,5,18,03 May 15,"Eat, Spray, Linda","https://www.tvmaze.com/episodes/151673/bobs-burgers-5x18-eat-spray-linda"
86,5,19,10 May 15,"Housetrap","https://www.tvmaze.com/episodes/151674/bobs-burgers-5x19-housetrap"
87,5,20,17 May 15,"Hawk & Chick","https://www.tvmaze.com/episodes/151675/bobs-burgers-5x20-hawk-chick"
88,5,21,17 May 15,"The Oeder Games","https://www.tvmaze.com/episodes/151676/bobs-burgers-5x21-the-oeder-games"
89,6,1,27 Sep 15,"Sliding Bobs","https://www.tvmaze.com/episodes/182393/bobs-burgers-6x01-sliding-bobs"
90,6,2,11 Oct 15,"The Land Ship","https://www.tvmaze.com/episodes/236850/bobs-burgers-6x02-the-land-ship"
91,6,3,18 Oct 15,"The Hauntening","https://www.tvmaze.com/episodes/277903/bobs-burgers-6x03-the-hauntening"
92,6,4,08 Nov 15,"Gayle Makin' Bob Sled","https://www.tvmaze.com/episodes/377752/bobs-burgers-6x04-gayle-makin-bob-sled"
93,6,5,15 Nov 15,"Nice-Capades","https://www.tvmaze.com/episodes/385064/bobs-burgers-6x05-nice-capades"
